codigo_tweet,resposta,classe
1221761016578658304,@g1 Queria o que? Fazer  a barba do corno?,d
1221761016578658304,"@g1 Da mesma forma do cara que matou a esposa pra estuprar a cunhada. 🙄 os ""santos""",d
1221761016578658304,@g1 REDE GLOBOLIXOOOOO...!!!!,d
1221761016578658304,@g1 Assassina!Palavra de assassina não vale nada.,d
1221761016578658304,@g1 o que doeu mais o chifre ou a facada?,o
1221761016578658304,@g1 Que cara frouxo!Aqui na minha cidade um homem queimou as partes da mulher quando descobriu q ela traia ele Exemplo de pessoa,o
1221761016578658304,@g1 Até quando o governo permitirá que pessoas comprem e portem facas? Precisamos de um estatuto do desfaqueamento !Ironia mode: On,o
1221761016578658304,@g1 Mete chifre e ainda mete a facada no cara... https://t.co/C8ZJPTUNlW,o
1221761016578658304,@g1 MGTOW é o caminho,o
1221761016578658304,@g1 Por mim ela amargaria uma temporada caprichada na cadeia.,d
1221761016578658304,"@g1 O cara foi corno e ainda foi esfaqueado, se isso não é motivo pra se aposentar logo eu não sei mais oq é",o
1221761016578658304,@g1 Aquela besteira que muitos cometem em situações estressantes se encontram uma arma pela frente.,c
1221761016578658304,"@g1 O cara é  traído, esfaqueado pela companheira, e os comentarios ainda são debochando dele... imagina se fosse o contrário...",c
1221761016578658304,"@g1 Onde estão as advogadas da lacrolândia... ah, me esqueci. Homem não presta.",o
1221761016578658304,@g1 https://t.co/aabkMiChRe,e
1221761016578658304,@g1 essas mulheres...🙄protejam-se homens!,o
1221761016578658304,"@g1 Publicou ontem e hoje. O que queres, G1?",d
1221761016578658304,"@g1 Trair pra quê? Esse povo é doente mental? Se não tá mais afim, simplesmente separa ô carai",o
1221761016578658304,@g1 Que foda!,c
1221761016578658304,@g1 Esse é corno de dar dó.Minha nossa...,c
1221761016578658304,@g1 Cêis não entendem nada ... Ela só queria tirar uma tira de couro! Pena que não conseguiu fazer sem derramar o sangue dele ... bem que o João Grilo avisou!!!,c
1221761016578658304,@g1 O cara foi pro céu dos bovinos,o
1221761016578658304,@g1 Caso inédito. Geralmente é o corno que tenta matar a companheira.,c
1221761016578658304,@g1 Imagina se quisesse,d
1221761016578658304,@g1 fé nas malucas 🤪,o
1221753466898518018,@g1 Gente é vdd mesmo que a Katy nunca ganhou um Grammy? Vi isso no Quizer,o
1221753466898518018,@g1 Uma porcaria de voces chamam de musica.,d
1221753466898518018,@g1 ASMR depressivo.,d
1221753466898518018,@g1 Uma artista promissora !!! #grammys,c
1221753466898518018,@g1 Mereceu,c
1221753466898518018,@g1 @pqdeb_,e
1221753466898518018,@g1 Tem gosto pra tudo...,d
1221753466898518018,@g1 Só eu q acho a música dela meh então,d
1221753466898518018,@g1 ¯\_(ツ)_/¯ https://t.co/iQ6d8TCkro,e
1221753466898518018,@g1 Pipocoo,o
1221753466898518018,@g1 Ela é foda!,c
1221753466898518018,@g1 Os bons de verdade duram mais que um ano.,o
1221753466898518018,@g1 André de Camargo Aranha E S T U P R A D O R ! #justicapormariferrer  #maribferrer,o
1221753466898518018,@g1 Bjs negah https://t.co/RWcNewbHGf,e
1221753466898518018,"@g1 Ariana sabe que ela sim deveria ter sido premiada, agora a gente sabe porque ele não aparece nessas premiações compradas https://t.co/Ob4zhLTmg2",d
1221753466898518018,"@g1 essa é verdadeira artista do ano, só não ve quem não quer https://t.co/VCwewkKA94",c
1221753466898518018,@g1 foda demais!!!,c
1221753466898518018,@g1 so perde pra Lady Gaga https://t.co/Fk2mMgKQwM,c
1221742142768500741,@g1 😥,e
1221742142768500741,@g1 onde estava o Lula na hora desse raio???,o
1221742142768500741,"@g1 bom que os bixo ja morre frito, num desperdica os bixin coitado 🙏🙏🙏🙏🙏🙏",c
1221742142768500741,@g1 😔,e
1221742142768500741,"@g1 Rapaz, raio é um trem perigoso.",c
1221742142768500741,@g1 Pikachu versus Taurus Batalha épica,o
1221742142768500741,@g1 Bom que já fica assado,c
1221742142768500741,@g1 Lamentável @xicograziano,d
1221742142768500741,@g1 SHAZAM NÃOOOOOOOOO,o
1221742142768500741,@g1 Bolsonaro perdeu 7 eleitores,o
1221742142768500741,@g1 churrascao,o
1221742142768500741,@g1 Bom que já estão cozidas kkkk,c
1221742142768500741,@g1 Vapo.,o
1221742142768500741,@g1 A carne já tá assada,c
1221742142768500741,@g1 ' churrasco a semana inteira,c
1221742142768500741,@g1 Que horror !,d
1221742142768500741,@g1 a vaca foi pro brejo ?,o
1221742142768500741,@g1 Tadinhas 😥,d
1221675798442270722,"@g1 ""Não temos discurso pq não achava que fossemos ganhar. Só fizemos música com tema depressivo, suicida e badboy..."". Enquanto poucos buscam ANYONE por salvação, Steven Tyler canta *we're livin on the edge! Grammys Awarness",o
1221675798442270722,@g1 Essa mina tem um talento absurdo,c
1221675798442270722,@g1 https://t.co/DvdeCP6KUB,e
1221675798442270722,@g1 https://t.co/zwxVMSvhbn ❤️❤️❤️❤️❤️❤️❤️❤️,e
1221675798442270722,@g1 Quem?,d
1221675798442270722,@g1 E essa cabeça de marcador?,d
1221675798442270722,@g1 SEM DEFEITOS,c
1221675798442270722,@g1 wtf,e
1221675798442270722,"@g1 meu cu, pq luan santana não ganhou?",d
1221675798442270722,"@g1 E não precisou ficar balançando a raba em nenhum momento pra isso! Parabéns pra ela, muito merecido!",c
1221675798442270722,@g1 Ícone ❤️,c
1221675798442270722,"@g1 E chegou o atestado de velhice, nunca ouvi falar. 😳",d
1221675798442270722,@g1 Credo,d
1221675798442270722,@g1 não é p menos...,c
1221675798442270722,@g1 Lana fã que lute,c
1221675798442270722,"@g1 E eu me pergunto, cadê Jorge e Matheus? Cadê o Embaixador? Os melhores sempre sendo injustiçados, por isso o mundo não vai pra frente. Preferem Billie Eilish do que Zé Neto e Cristiano",d
1221613798366142465,@g1 O título ta errado,d
1221613798366142465,"@g1 E eu com isso! Enquanto isso o Brasil de Bolsonaro dá adeus à educação, pesquisa, aposentadoria, reservas indígenas, floresta amazônica, cultura artística... Isso só no primeiro ano de desgoverno, tirem ele logo de lá!",d
1221613798366142465,@g1 Saíram das garras do capeta!,c
1221613798366142465,@g1 Finalmente. Acabou a novela.,c
1221613798366142465,@g1 Será sua independência ou colapso econômico e deficiência dos serviços públicos,o
1221613798366142465,"@g1 Preparem, visto para entrar em Londres",c
1221613798366142465,@g1 Espero que quando se arrependerem a UE dê as costas!,d
1221613798366142465,"@g1 Ja prevejo aumento no preço médio dos alimentos já que a Inglaterra n produz nada nesse setor quase, queda brusca das exportações já que seus principais parceiros são França e Alemanha então espero que realmente tenha um acordo se não vamos de recessão e crise",d
1221613798366142465,@g1 estagiário querendo falar dos Estados Unidos ahaha,d
1221613798366142465,@g1 Porto de SANTOS desembarcou um navio de chines as 15:00 hoje 26/01/2020 olha o corona chegando  de navio,o
1221613798366142465,"@g1 Será uma ""espécie"" de independência do Reino Unido, porém não duvido uns anos depois querer voltar.",d
1221613798366142465,@g1 E irão cholar cholar cholar cholar cholar cholar e terão de aceitar que dói menos.,o
1221613798366142465,@g1 Parabéns pela grande merda que estão fazendo! 👍,d
1221613798366142465,@g1 Respeigando a decisao do povo em plebiscito.,c
1221613798366142465,"@g1 Reino Unido sai mais gigante disso tudo depois de tantas tentativas da esquerda em impedir o Brexit. A esquerda tentou, tentou, e não adiantou nada. A vontade do povo será respeitada. Quem sai humilhado nisso tudo é o Corbyn e seu partido. Viva a democracia!",c
1221613798366142465,@g1 Não dou 4 anos para querer voltar,d
1221613798366142465,@g1 estarão condenando o futuro dos jovens,d
1221613798366142465,@g1 Em breve teremos essa manchete:República da Escócia dá adeus ao Reino Unido.,o
1221613798366142465,@g1 Parabéns Reino!!! 👏🏼👏🏼👏🏼,c
1221613798366142465,@g1 Parabéns. 31 de Janeiro. Dia da Independencia do Reino Unido,c
1221613798366142465,"@g1 ""Estados Unido""",o
1221613798366142465,@g1 👏👏👏👏Parabéns!!,c
1221613798366142465,@g1 Que demora da p0rr@!!!Tá pior que noiva no dia do casamento.,o
1221613798366142465,"@g1 Parabéns ao Reino Unido! 🇬🇧Em breve, novo parceiro comercial do Brasil!",c
1221613798366142465,@g1 Reino Unido*****,o
1221613798366142465,@g1 https://t.co/2jflYalU00,e
1221613798366142465,@g1 Conseguiram se salvar,c
1221598698309734400,@g1 Porto de SANTOS desembarcou um navio de chines infectados as 15:00 hoje 26/01/2020 olha o corona chegando  de navio,o
1221598698309734400,@g1 Achei q a foto fosse de velório do mosquito,o
1221598698309734400,@g1 Que balbúrdia!!!!! Deus nos livre!!!,d
1221598698309734400,@g1 pensei que universidade era pra fumar maconha e fazer orgia,d
1221598698309734400,@g1 Anda com fé eu vouCafé não costuma faiá,o
1221598698309734400,"@g1 Olha @tamara_foster além de tudo, é mais um aromatizador com cheirinho de café 😋",c
1221598698309734400,@g1 Mais é antes ou dps de passar o café 🤔🤔🤔🤔🤔,o
1221598698309734400,"@g1 Mentira ! Eles estavam dormindo,certeza (Esse comentário contém uma intensa dose de humor,por isso não deve ser levado a sério)",o
1221598698309734400,"@g1 Adorei a ideia, mas não é fácil fazer um comunicado oficial falando ""SEUS FDP DO CARALHO DA PRA TIRAR ESSA VASILHA DE ÁGUA DO QUINTAL? LIMPAR O TERRENO? ARRUMAR OUTRA POLTRONA NO JARDIM QUE N SEJA UM PNEU VELHO? Obrigada""",c
1221598698309734400,@g1 Que massa!!! Muito bom!,c
1221598698309734400,@g1 repele nada,d
1221598698309734400,@g1 @portugalline,e
1221598698309734400,@g1 Manda que a gente compra!! https://t.co/6xSdyg3gLp,c
